recommendation_id,rule_id,clothing_type,colour,condition,damage_location,damage_severity,stain_severity,hole_severity,repair_status,style,material,recommended_action,upcycling_method,difficulty,reason,required_materials,estimated_time_minutes,recommendation_priority,rule_basis
REC002949,S02,Shirt,Black,Worn,Collar,Minor,Minor,Minor,Previously Repaired,Sporty,Linen,Replace or redesign the collar,Collar redesign,Medium,A damaged collar can be replaced or converted into a new neckline.,"Replacement fabric, interfacing, thread and sewing tools",75,1,Rule-based circular fashion/upcycling transformation
REC002950,S03,Shirt,Black,Worn,Front,Minor,Minor,Minor,Previously Repaired,Sporty,Linen,Add a decorative fabric panel or appliqué,Panel insertion,Medium,A localized damaged area can be reinforced and visually redesigned.,"Fabric panel, thread, needle or sewing machine",60,2,Rule-based circular fashion/upcycling transformation
REC002951,S04,Shirt,Black,Damaged,Multiple Areas,Major,Minor,None,Previously Repaired,Formal,Cotton,Recover intact fabric sections for smaller products,Material recovery,Medium,Heavily damaged garments can still provide usable fabric pieces.,"Scissors, measuring tape and sewing supplies",120,1,Rule-based circular fashion/upcycling transformation
REC002952,SA01,Saree,Black,Worn,Edge,Minor,Minor,Minor,Previously Repaired,Sporty,Silk,Trim the damaged edge and create a smaller accessory,Edge recovery,Medium,A damaged edge can be removed while preserving a large amount of usable fabric.,"Scissors, measuring tape and finishing thread",60,1,Rule-based circular fashion/upcycling transformation
REC002953,SA02,Saree,Black,Damaged,Multiple Areas,Major,Minor,None,Previously Repaired,Formal,Cotton,Recover intact fabric for accessories or patchwork,Fabric recovery,Medium,Intact sections can be separated and reused when the original item is heavily damaged.,"Scissors, measuring tape and sewing supplies",120,1,Rule-based circular fashion/upcycling transformation
REC002954,SH01,Shorts,Black,Worn,Hem,Minor,Minor,Minor,Previously Repaired,Sporty,Cotton,Refinish or redesign the hem,Hem redesign,Easy,The damaged edge can be reconstructed without replacing the whole garment.,"Scissors, thread and sewing tools",30,1,Rule-based circular fashion/upcycling transformation
REC002955,SK01,Skirt,Black,Worn,Bottom,Minor,Minor,Minor,Previously Repaired,Sporty,Denim,Shorten and refinish the skirt,Length alteration,Easy,Damaged lower fabric can be removed and the hem reconstructed.,"Scissors, measuring tape and sewing tools",45,1,Rule-based circular fashion/upcycling transformation
REC002956,SK02,Skirt,Black,Worn,Waist,Minor,Minor,Minor,Previously Repaired,Sporty,Denim,Replace or reinforce the waistband,Waistband repair,Medium,A damaged waistband can be repaired without replacing the entire garment.,"Elastic or waistband fabric, thread and sewing tools",60,1,Rule-based circular fashion/upcycling transformation
REC002957,T01,T-shirt,Black,Worn,Sleeve,Minor,Minor,Minor,Previously Repaired,Traditional,Cotton,Redesign into a sleeveless top,Sleeve removal,Easy,Removing a damaged sleeve can preserve the main body of the garment.,"Scissors, measuring tape, needle and thread",40,1,Rule-based circular fashion/upcycling transformation
REC002958,T02,T-shirt,Black,Worn,Bottom,Minor,Minor,Minor,Previously Repaired,Traditional,Cotton,Crop and finish the lower edge,Cropping,Easy,A damaged lower edge can be removed and the garment shortened.,"Scissors, measuring tape, needle and thread",30,1,Rule-based circular fashion/upcycling transformation
REC002959,T03,T-shirt,Black,Worn,Front,Minor,Minor,Minor,Previously Repaired,Traditional,Cotton,Cover the damaged area with an appliqué or patch,Appliqué,Easy,A localized damaged area can be covered while adding a decorative element.,"Fabric patch, fabric adhesive or thread",30,1,Rule-based circular fashion/upcycling transformation
REC002960,T04,T-shirt,Black,Damaged,Multiple Areas,Major,Minor,None,Previously Repaired,Formal,Polyester,Recover usable fabric for small accessories,Fabric recovery,Medium,"When the shirt is heavily damaged, intact fabric can still be reused.","Scissors, thread and sewing supplies",90,1,Rule-based circular fashion/upcycling transformation
REC002961,D01,Dress,Black,Worn,Bottom,Minor,None,None,Needs Repair,Sporty,Viscose,Shorten the dress and refinish the hem,Length alteration,Easy,A damaged lower edge can be removed while retaining the upper garment.,"Scissors, measuring tape and sewing tools",60,1,Rule-based circular fashion/upcycling transformation
REC002962,D02,Dress,Black,Worn,Sleeve,Minor,None,None,Needs Repair,Sporty,Viscose,Redesign into a sleeveless dress,Sleeve removal,Medium,Removing damaged sleeves can preserve the dress body.,"Scissors, thread, needle or sewing machine",75,1,Rule-based circular fashion/upcycling transformation
REC002963,D03,Dress,Black,Damaged,Multiple Areas,Major,Minor,Minor,Needs Repair,Formal,Cotton,Recover usable fabric for a skirt or accessories,Fabric recovery,Medium,Intact sections can be separated from damaged areas and reused.,"Scissors, measuring tape and sewing supplies",120,1,Rule-based circular fashion/upcycling transformation
REC002964,J01,Jeans,Black,Worn,Bottom,Minor,None,None,Needs Repair,Vintage,Denim,Convert into denim shorts,Shortening,Easy,The lower portion can be removed while preserving usable denim.,"Scissors, measuring tape, sewing machine or needle and thread",45,1,Rule-based circular fashion/upcycling transformation
REC002965,J02,Jeans,Black,Worn,Knee,Minor,None,None,Needs Repair,Vintage,Denim,Apply visible patches,Visible mending,Easy,Localized minor damage can be strengthened and redesigned with a patch.,"Denim patch, thread, needle or sewing machine",30,1,Rule-based circular fashion/upcycling transformation
REC002966,J03,Jeans,Black,Worn,Pocket,Minor,None,None,Needs Repair,Vintage,Denim,Reuse usable denim sections for an accessory,Material reuse,Medium,Undamaged denim sections can be recovered for smaller products.,"Scissors, thread, needle or sewing machine",90,2,Rule-based circular fashion/upcycling transformation
REC002967,J04,Jeans,Black,Damaged,Multiple Areas,Major,Minor,Minor,Needs Repair,Sporty,Denim,Create denim patchwork,Patchwork,Medium,Multiple damaged areas make patchwork more practical than a full garment redesign.,"Scissors, denim scraps, thread and sewing machine",180,1,Rule-based circular fashion/upcycling transformation
REC002968,K01,Hoodie,Black,Worn,Sleeve,Minor,None,None,Needs Repair,Traditional,Polyester,Convert into a sleeveless vest,Sleeve removal,Medium,Removing damaged sleeves can preserve the central body and create a vest.,"Scissors, thread and sewing tools",75,1,Rule-based circular fashion/upcycling transformation
REC002969,K02,Hoodie,Black,Worn,Front,Minor,None,None,Needs Repair,Traditional,Polyester,Add a fabric patch or decorative panel,Patchwork,Easy,A patch can reinforce localized damage and extend garment life.,"Fabric patch, thread or fabric adhesive",35,1,Rule-based circular fashion/upcycling transformation
REC002970,K03,Hoodie,Black,Damaged,Multiple Areas,Major,Minor,Minor,Needs Repair,Formal,Polyester,Recover intact fabric for accessories,Fabric recovery,Medium,Usable sections can be separated from heavily damaged areas.,"Scissors, thread and sewing supplies",100,1,Rule-based circular fashion/upcycling transformation
REC002971,L01,Leggings,Black,Worn,Bottom,Minor,None,None,Needs Repair,Traditional,Nylon,Convert into shorter leggings,Length alteration,Easy,Damaged lower sections can be removed while retaining usable fabric.,"Scissors, measuring tape and sewing tools",30,1,Rule-based circular fashion/upcycling transformation
REC002972,L02,Leggings,Black,Damaged,Multiple Areas,Major,Minor,Minor,Needs Repair,Formal,Nylon,Recover fabric for small textile accessories,Material recovery,Medium,Intact sections may still be useful for smaller textile products.,Scissors and sewing supplies,75,1,Rule-based circular fashion/upcycling transformation
REC002973,N01,T-shirt,White,Worn,None,None,None,None,Previously Repaired,Sporty,Cotton Blend,Convert into a reusable fabric tote,Tote conversion,Easy,A usable knit top can be repurposed into a simple reusable bag.,"Scissors, thread and sewing supplies",60,2,Rule-based circular fashion/upcycling transformation
REC002974,N02,Shirt,White,Worn,None,None,None,None,Previously Repaired,Casual,Polyester,Convert into a reusable fabric tote,Tote conversion,Easy,A button-up garment can be repurposed while retaining useful fabric.,"Scissors, thread and sewing supplies",75,2,Rule-based circular fashion/upcycling transformation
REC002975,N03,Jeans,Blue,Worn,None,None,None,None,Previously Repaired,Formal,Denim,Create a small denim accessory from unused fabric sections,Denim reuse,Medium,Denim provides durable fabric suitable for smaller accessories.,"Scissors, denim fabric, thread and sewing tools",90,2,Rule-based circular fashion/upcycling transformation
REC002976,N04,Saree,White,Worn,None,None,None,None,Previously Repaired,Casual,Polyester,Create a smaller accessory from the existing fabric,Accessory conversion,Medium,Large textile pieces can be redesigned into smaller useful accessories.,"Scissors, measuring tape and finishing supplies",60,2,Rule-based circular fashion/upcycling transformation
REC002977,N05,Dress,White,Worn,None,None,None,None,Previously Repaired,Casual,Viscose,Redesign the silhouette through length alteration,Silhouette redesign,Medium,A usable garment can receive a new silhouette instead of being discarded.,"Scissors, measuring tape and sewing supplies",75,2,Rule-based circular fashion/upcycling transformation
REC002978,O01,Jacket,Black,Worn,Sleeve,Minor,None,None,Needs Repair,Sporty,Nylon,Convert into a sleeveless vest,Sleeve removal,Medium,Removing damaged sleeves can create a wearable vest from the main body.,"Scissors, thread and sewing machine",90,1,Rule-based circular fashion/upcycling transformation
REC002979,O02,Jacket,Black,Worn,Pocket,Minor,None,None,Needs Repair,Sporty,Nylon,Add a decorative patch or pocket redesign,Patch or pocket redesign,Medium,A localized damaged area can be reinforced while adding a functional feature.,"Patch fabric, thread and sewing tools",60,1,Rule-based circular fashion/upcycling transformation
REC002980,O03,Jacket,Black,Damaged,Multiple Areas,Major,Minor,Minor,Needs Repair,Formal,Polyester,Recover usable panels for accessories,Material recovery,Medium,Intact outerwear panels can be reused when the full garment is no longer practical.,"Scissors, measuring tape and sewing supplies",150,1,Rule-based circular fashion/upcycling transformation
REC002981,P01,Trousers,Black,Worn,Bottom,Minor,None,None,Needs Repair,Sporty,Wool Blend,Convert into shorts,Shortening,Easy,Damaged lower sections can be removed to preserve the upper garment.,"Scissors, measuring tape and sewing tools",45,1,Rule-based circular fashion/upcycling transformation
REC002982,P02,Trousers,Black,Worn,Knee,Minor,None,None,Needs Repair,Sporty,Wool Blend,Repair and reinforce with a patch,Visible mending,Easy,Localized damage can be reinforced instead of discarding the garment.,"Fabric patch, thread, needle or sewing machine",40,1,Rule-based circular fashion/upcycling transformation
REC002983,R01,Jumpsuit,Black,Worn,Bottom,Minor,None,None,Needs Repair,Sporty,Polyester,Convert into a shorter romper or playsuit,Length alteration,Medium,Removing damaged lower sections can preserve the upper garment structure.,"Scissors, measuring tape and sewing tools",90,1,Rule-based circular fashion/upcycling transformation
REC002984,R02,Jumpsuit,Black,Worn,Sleeve,Minor,None,None,Needs Repair,Sporty,Polyester,Redesign into a sleeveless style,Sleeve removal,Medium,Damaged sleeves can be removed while preserving the main garment.,"Scissors, thread and sewing tools",75,1,Rule-based circular fashion/upcycling transformation
REC002985,S01,Shirt,Black,Worn,Sleeve,Minor,None,None,Needs Repair,Sporty,Polyester,Convert into a sleeveless top,Sleeve removal,Medium,Removing damaged sleeves can retain the main body of the garment.,"Scissors, thread, needle or sewing machine",60,1,Rule-based circular fashion/upcycling transformation
REC002986,S02,Shirt,Black,Worn,Collar,Minor,None,None,Needs Repair,Sporty,Polyester,Replace or redesign the collar,Collar redesign,Medium,A damaged collar can be replaced or converted into a new neckline.,"Replacement fabric, interfacing, thread and sewing tools",75,1,Rule-based circular fashion/upcycling transformation
REC002987,S03,Shirt,Black,Worn,Front,Minor,None,None,Needs Repair,Sporty,Polyester,Add a decorative fabric panel or appliqué,Panel insertion,Medium,A localized damaged area can be reinforced and visually redesigned.,"Fabric panel, thread, needle or sewing machine",60,2,Rule-based circular fashion/upcycling transformation
REC002988,S04,Shirt,Black,Damaged,Multiple Areas,Major,Minor,Minor,Needs Repair,Formal,Cotton,Recover intact fabric sections for smaller products,Material recovery,Medium,Heavily damaged garments can still provide usable fabric pieces.,"Scissors, measuring tape and sewing supplies",120,1,Rule-based circular fashion/upcycling transformation
REC002989,SA01,Saree,Black,Worn,Edge,Minor,None,None,Needs Repair,Sporty,Polyester,Trim the damaged edge and create a smaller accessory,Edge recovery,Medium,A damaged edge can be removed while preserving a large amount of usable fabric.,"Scissors, measuring tape and finishing thread",60,1,Rule-based circular fashion/upcycling transformation
REC002990,SA02,Saree,Black,Damaged,Multiple Areas,Major,Minor,Minor,Needs Repair,Formal,Cotton,Recover intact fabric for accessories or patchwork,Fabric recovery,Medium,Intact sections can be separated and reused when the original item is heavily damaged.,"Scissors, measuring tape and sewing supplies",120,1,Rule-based circular fashion/upcycling transformation
REC002991,SH01,Shorts,Black,Worn,Hem,Minor,None,None,Needs Repair,Sporty,Polyester,Refinish or redesign the hem,Hem redesign,Easy,The damaged edge can be reconstructed without replacing the whole garment.,"Scissors, thread and sewing tools",30,1,Rule-based circular fashion/upcycling transformation
REC002992,SK01,Skirt,Black,Worn,Bottom,Minor,None,None,Needs Repair,Sporty,Polyester,Shorten and refinish the skirt,Length alteration,Easy,Damaged lower fabric can be removed and the hem reconstructed.,"Scissors, measuring tape and sewing tools",45,1,Rule-based circular fashion/upcycling transformation
REC002993,SK02,Skirt,Black,Worn,Waist,Minor,None,None,Needs Repair,Sporty,Polyester,Replace or reinforce the waistband,Waistband repair,Medium,A damaged waistband can be repaired without replacing the entire garment.,"Elastic or waistband fabric, thread and sewing tools",60,1,Rule-based circular fashion/upcycling transformation
REC002994,T01,T-shirt,Black,Worn,Sleeve,Minor,None,None,Needs Repair,Traditional,Polyester,Redesign into a sleeveless top,Sleeve removal,Easy,Removing a damaged sleeve can preserve the main body of the garment.,"Scissors, measuring tape, needle and thread",40,1,Rule-based circular fashion/upcycling transformation
REC002995,T02,T-shirt,Black,Worn,Bottom,Minor,None,None,Needs Repair,Traditional,Polyester,Crop and finish the lower edge,Cropping,Easy,A damaged lower edge can be removed and the garment shortened.,"Scissors, measuring tape, needle and thread",30,1,Rule-based circular fashion/upcycling transformation
REC002996,T03,T-shirt,Black,Worn,Front,Minor,None,None,Needs Repair,Traditional,Polyester,Cover the damaged area with an appliqué or patch,Appliqué,Easy,A localized damaged area can be covered while adding a decorative element.,"Fabric patch, fabric adhesive or thread",30,1,Rule-based circular fashion/upcycling transformation
REC002997,T04,T-shirt,Black,Damaged,Multiple Areas,Major,Minor,Minor,Needs Repair,Formal,Polyester,Recover usable fabric for small accessories,Fabric recovery,Medium,"When the shirt is heavily damaged, intact fabric can still be reused.","Scissors, thread and sewing supplies",90,1,Rule-based circular fashion/upcycling transformation
REC002998,D01,Dress,Black,Worn,Bottom,Minor,None,None,Previously Repaired,Sporty,Viscose,Shorten the dress and refinish the hem,Length alteration,Easy,A damaged lower edge can be removed while retaining the upper garment.,"Scissors, measuring tape and sewing tools",60,1,Rule-based circular fashion/upcycling transformation
REC002999,D02,Dress,Black,Worn,Sleeve,Minor,None,None,Previously Repaired,Sporty,Viscose,Redesign into a sleeveless dress,Sleeve removal,Medium,Removing damaged sleeves can preserve the dress body.,"Scissors, thread, needle or sewing machine",75,1,Rule-based circular fashion/upcycling transformation
REC003000,D03,Dress,Black,Damaged,Multiple Areas,Major,Minor,Minor,Previously Repaired,Formal,Cotton,Recover usable fabric for a skirt or accessories,Fabric recovery,Medium,Intact sections can be separated from damaged areas and reused.,"Scissors, measuring tape and sewing supplies",120,1,Rule-based circular fashion/upcycling transformation
REC003001,J01,Jeans,Black,Worn,Bottom,Minor,None,None,Previously Repaired,Vintage,Denim,Convert into denim shorts,Shortening,Easy,The lower portion can be removed while preserving usable denim.,"Scissors, measuring tape, sewing machine or needle and thread",45,1,Rule-based circular fashion/upcycling transformation
REC003002,J02,Jeans,Black,Worn,Knee,Minor,None,None,Previously Repaired,Vintage,Denim,Apply visible patches,Visible mending,Easy,Localized minor damage can be strengthened and redesigned with a patch.,"Denim patch, thread, needle or sewing machine",30,1,Rule-based circular fashion/upcycling transformation
REC003003,J03,Jeans,Black,Worn,Pocket,Minor,None,None,Previously Repaired,Vintage,Denim,Reuse usable denim sections for an accessory,Material reuse,Medium,Undamaged denim sections can be recovered for smaller products.,"Scissors, thread, needle or sewing machine",90,2,Rule-based circular fashion/upcycling transformation
REC003004,J04,Jeans,Black,Damaged,Multiple Areas,Major,Minor,Minor,Previously Repaired,Sporty,Denim,Create denim patchwork,Patchwork,Medium,Multiple damaged areas make patchwork more practical than a full garment redesign.,"Scissors, denim scraps, thread and sewing machine",180,1,Rule-based circular fashion/upcycling transformation
REC003005,K01,Hoodie,Black,Worn,Sleeve,Minor,None,None,Previously Repaired,Traditional,Polyester,Convert into a sleeveless vest,Sleeve removal,Medium,Removing damaged sleeves can preserve the central body and create a vest.,"Scissors, thread and sewing tools",75,1,Rule-based circular fashion/upcycling transformation
REC003006,K02,Hoodie,Black,Worn,Front,Minor,None,None,Previously Repaired,Traditional,Polyester,Add a fabric patch or decorative panel,Patchwork,Easy,A patch can reinforce localized damage and extend garment life.,"Fabric patch, thread or fabric adhesive",35,1,Rule-based circular fashion/upcycling transformation
REC003007,K03,Hoodie,Black,Damaged,Multiple Areas,Major,Minor,Minor,Previously Repaired,Formal,Polyester,Recover intact fabric for accessories,Fabric recovery,Medium,Usable sections can be separated from heavily damaged areas.,"Scissors, thread and sewing supplies",100,1,Rule-based circular fashion/upcycling transformation
REC003008,L01,Leggings,Black,Worn,Bottom,Minor,None,None,Previously Repaired,Traditional,Nylon,Convert into shorter leggings,Length alteration,Easy,Damaged lower sections can be removed while retaining usable fabric.,"Scissors, measuring tape and sewing tools",30,1,Rule-based circular fashion/upcycling transformation
REC003009,L02,Leggings,Black,Damaged,Multiple Areas,Major,Minor,Minor,Previously Repaired,Formal,Nylon,Recover fabric for small textile accessories,Material recovery,Medium,Intact sections may still be useful for smaller textile products.,Scissors and sewing supplies,75,1,Rule-based circular fashion/upcycling transformation
REC003010,N01,T-shirt,White,Excellent,None,None,None,None,No Repair,Traditional,Cotton,Convert into a reusable fabric tote,Tote conversion,Easy,A usable knit top can be repurposed into a simple reusable bag.,"Scissors, thread and sewing supplies",60,2,Rule-based circular fashion/upcycling transformation
REC003011,N02,Shirt,White,Excellent,None,None,None,None,No Repair,Casual,Cotton Blend,Convert into a reusable fabric tote,Tote conversion,Easy,A button-up garment can be repurposed while retaining useful fabric.,"Scissors, thread and sewing supplies",75,2,Rule-based circular fashion/upcycling transformation
REC003012,N03,Jeans,Blue,Excellent,None,None,None,None,No Repair,Formal,Cotton Blend,Create a small denim accessory from unused fabric sections,Denim reuse,Medium,Denim provides durable fabric suitable for smaller accessories.,"Scissors, denim fabric, thread and sewing tools",90,2,Rule-based circular fashion/upcycling transformation
REC003013,N04,Saree,White,Excellent,None,None,None,None,No Repair,Casual,Viscose,Create a smaller accessory from the existing fabric,Accessory conversion,Medium,Large textile pieces can be redesigned into smaller useful accessories.,"Scissors, measuring tape and finishing supplies",60,2,Rule-based circular fashion/upcycling transformation
REC003014,N05,Dress,White,Excellent,None,None,None,None,No Repair,Casual,Silk,Redesign the silhouette through length alteration,Silhouette redesign,Medium,A usable garment can receive a new silhouette instead of being discarded.,"Scissors, measuring tape and sewing supplies",75,2,Rule-based circular fashion/upcycling transformation
REC003015,O01,Jacket,Black,Worn,Sleeve,Minor,None,None,Previously Repaired,Sporty,Nylon,Convert into a sleeveless vest,Sleeve removal,Medium,Removing damaged sleeves can create a wearable vest from the main body.,"Scissors, thread and sewing machine",90,1,Rule-based circular fashion/upcycling transformation
REC003016,O02,Jacket,Black,Worn,Pocket,Minor,None,None,Previously Repaired,Sporty,Nylon,Add a decorative patch or pocket redesign,Patch or pocket redesign,Medium,A localized damaged area can be reinforced while adding a functional feature.,"Patch fabric, thread and sewing tools",60,1,Rule-based circular fashion/upcycling transformation
REC003017,O03,Jacket,Black,Damaged,Multiple Areas,Major,Minor,Minor,Previously Repaired,Formal,Polyester,Recover usable panels for accessories,Material recovery,Medium,Intact outerwear panels can be reused when the full garment is no longer practical.,"Scissors, measuring tape and sewing supplies",150,1,Rule-based circular fashion/upcycling transformation
REC003018,P01,Trousers,Black,Worn,Bottom,Minor,None,None,Previously Repaired,Sporty,Wool Blend,Convert into shorts,Shortening,Easy,Damaged lower sections can be removed to preserve the upper garment.,"Scissors, measuring tape and sewing tools",45,1,Rule-based circular fashion/upcycling transformation
REC003019,P02,Trousers,Black,Worn,Knee,Minor,None,None,Previously Repaired,Sporty,Wool Blend,Repair and reinforce with a patch,Visible mending,Easy,Localized damage can be reinforced instead of discarding the garment.,"Fabric patch, thread, needle or sewing machine",40,1,Rule-based circular fashion/upcycling transformation
REC003020,R01,Jumpsuit,Black,Worn,Bottom,Minor,None,None,Previously Repaired,Sporty,Polyester,Convert into a shorter romper or playsuit,Length alteration,Medium,Removing damaged lower sections can preserve the upper garment structure.,"Scissors, measuring tape and sewing tools",90,1,Rule-based circular fashion/upcycling transformation
REC003021,R02,Jumpsuit,Black,Worn,Sleeve,Minor,None,None,Previously Repaired,Sporty,Polyester,Redesign into a sleeveless style,Sleeve removal,Medium,Damaged sleeves can be removed while preserving the main garment.,"Scissors, thread and sewing tools",75,1,Rule-based circular fashion/upcycling transformation
REC003022,S01,Shirt,Black,Worn,Sleeve,Minor,None,None,Previously Repaired,Sporty,Polyester,Convert into a sleeveless top,Sleeve removal,Medium,Removing damaged sleeves can retain the main body of the garment.,"Scissors, thread, needle or sewing machine",60,1,Rule-based circular fashion/upcycling transformation
REC003023,S02,Shirt,Black,Worn,Collar,Minor,None,None,Previously Repaired,Sporty,Polyester,Replace or redesign the collar,Collar redesign,Medium,A damaged collar can be replaced or converted into a new neckline.,"Replacement fabric, interfacing, thread and sewing tools",75,1,Rule-based circular fashion/upcycling transformation
REC003024,S03,Shirt,Black,Worn,Front,Minor,None,None,Previously Repaired,Sporty,Polyester,Add a decorative fabric panel or appliqué,Panel insertion,Medium,A localized damaged area can be reinforced and visually redesigned.,"Fabric panel, thread, needle or sewing machine",60,2,Rule-based circular fashion/upcycling transformation
REC003025,S04,Shirt,Black,Damaged,Multiple Areas,Major,Minor,Minor,Previously Repaired,Formal,Cotton,Recover intact fabric sections for smaller products,Material recovery,Medium,Heavily damaged garments can still provide usable fabric pieces.,"Scissors, measuring tape and sewing supplies",120,1,Rule-based circular fashion/upcycling transformation
REC003026,SA01,Saree,Black,Worn,Edge,Minor,None,None,Previously Repaired,Sporty,Polyester,Trim the damaged edge and create a smaller accessory,Edge recovery,Medium,A damaged edge can be removed while preserving a large amount of usable fabric.,"Scissors, measuring tape and finishing thread",60,1,Rule-based circular fashion/upcycling transformation
REC003027,SA02,Saree,Black,Damaged,Multiple Areas,Major,Minor,Minor,Previously Repaired,Formal,Cotton,Recover intact fabric for accessories or patchwork,Fabric recovery,Medium,Intact sections can be separated and reused when the original item is heavily damaged.,"Scissors, measuring tape and sewing supplies",120,1,Rule-based circular fashion/upcycling transformation
REC003028,SH01,Shorts,Black,Worn,Hem,Minor,None,None,Previously Repaired,Sporty,Polyester,Refinish or redesign the hem,Hem redesign,Easy,The damaged edge can be reconstructed without replacing the whole garment.,"Scissors, thread and sewing tools",30,1,Rule-based circular fashion/upcycling transformation
REC003029,SK01,Skirt,Black,Worn,Bottom,Minor,None,None,Previously Repaired,Sporty,Polyester,Shorten and refinish the skirt,Length alteration,Easy,Damaged lower fabric can be removed and the hem reconstructed.,"Scissors, measuring tape and sewing tools",45,1,Rule-based circular fashion/upcycling transformation
REC003030,SK02,Skirt,Black,Worn,Waist,Minor,None,None,Previously Repaired,Sporty,Polyester,Replace or reinforce the waistband,Waistband repair,Medium,A damaged waistband can be repaired without replacing the entire garment.,"Elastic or waistband fabric, thread and sewing tools",60,1,Rule-based circular fashion/upcycling transformation
REC003031,T01,T-shirt,Black,Worn,Sleeve,Minor,None,None,Previously Repaired,Traditional,Polyester,Redesign into a sleeveless top,Sleeve removal,Easy,Removing a damaged sleeve can preserve the main body of the garment.,"Scissors, measuring tape, needle and thread",40,1,Rule-based circular fashion/upcycling transformation
REC003032,T02,T-shirt,Black,Worn,Bottom,Minor,None,None,Previously Repaired,Traditional,Polyester,Crop and finish the lower edge,Cropping,Easy,A damaged lower edge can be removed and the garment shortened.,"Scissors, measuring tape, needle and thread",30,1,Rule-based circular fashion/upcycling transformation
REC003033,T03,T-shirt,Black,Worn,Front,Minor,None,None,Previously Repaired,Traditional,Polyester,Cover the damaged area with an appliqué or patch,Appliqué,Easy,A localized damaged area can be covered while adding a decorative element.,"Fabric patch, fabric adhesive or thread",30,1,Rule-based circular fashion/upcycling transformation
REC003034,T04,T-shirt,Black,Damaged,Multiple Areas,Major,Minor,Minor,Previously Repaired,Formal,Polyester,Recover usable fabric for small accessories,Fabric recovery,Medium,"When the shirt is heavily damaged, intact fabric can still be reused.","Scissors, thread and sewing supplies",90,1,Rule-based circular fashion/upcycling transformation
REC003035,D01,Dress,Black,Worn,Bottom,Minor,None,Minor,Needs Repair,Sporty,Viscose,Shorten the dress and refinish the hem,Length alteration,Easy,A damaged lower edge can be removed while retaining the upper garment.,"Scissors, measuring tape and sewing tools",60,1,Rule-based circular fashion/upcycling transformation
REC003036,D02,Dress,Black,Worn,Sleeve,Minor,None,Minor,Needs Repair,Sporty,Viscose,Redesign into a sleeveless dress,Sleeve removal,Medium,Removing damaged sleeves can preserve the dress body.,"Scissors, thread, needle or sewing machine",75,1,Rule-based circular fashion/upcycling transformation
REC003037,D03,Dress,Black,Damaged,Multiple Areas,Major,Minor,Major,Needs Repair,Formal,Cotton,Recover usable fabric for a skirt or accessories,Fabric recovery,Medium,Intact sections can be separated from damaged areas and reused.,"Scissors, measuring tape and sewing supplies",120,1,Rule-based circular fashion/upcycling transformation
REC003038,J01,Jeans,Black,Worn,Bottom,Minor,None,Minor,Needs Repair,Vintage,Denim,Convert into denim shorts,Shortening,Easy,The lower portion can be removed while preserving usable denim.,"Scissors, measuring tape, sewing machine or needle and thread",45,1,Rule-based circular fashion/upcycling transformation
REC003039,J02,Jeans,Black,Worn,Knee,Minor,None,Minor,Needs Repair,Vintage,Denim,Apply visible patches,Visible mending,Easy,Localized minor damage can be strengthened and redesigned with a patch.,"Denim patch, thread, needle or sewing machine",30,1,Rule-based circular fashion/upcycling transformation
REC003040,J03,Jeans,Black,Worn,Pocket,Minor,None,Minor,Needs Repair,Vintage,Denim,Reuse usable denim sections for an accessory,Material reuse,Medium,Undamaged denim sections can be recovered for smaller products.,"Scissors, thread, needle or sewing machine",90,2,Rule-based circular fashion/upcycling transformation
REC003041,J04,Jeans,Black,Damaged,Multiple Areas,Major,Minor,Major,Needs Repair,Sporty,Denim,Create denim patchwork,Patchwork,Medium,Multiple damaged areas make patchwork more practical than a full garment redesign.,"Scissors, denim scraps, thread and sewing machine",180,1,Rule-based circular fashion/upcycling transformation
REC003042,K01,Hoodie,Black,Worn,Sleeve,Minor,None,Minor,Needs Repair,Traditional,Polyester,Convert into a sleeveless vest,Sleeve removal,Medium,Removing damaged sleeves can preserve the central body and create a vest.,"Scissors, thread and sewing tools",75,1,Rule-based circular fashion/upcycling transformation
REC003043,K02,Hoodie,Black,Worn,Front,Minor,None,Minor,Needs Repair,Traditional,Polyester,Add a fabric patch or decorative panel,Patchwork,Easy,A patch can reinforce localized damage and extend garment life.,"Fabric patch, thread or fabric adhesive",35,1,Rule-based circular fashion/upcycling transformation
REC003044,K03,Hoodie,Black,Damaged,Multiple Areas,Major,Minor,Major,Needs Repair,Formal,Polyester,Recover intact fabric for accessories,Fabric recovery,Medium,Usable sections can be separated from heavily damaged areas.,"Scissors, thread and sewing supplies",100,1,Rule-based circular fashion/upcycling transformation
REC003045,L01,Leggings,Black,Worn,Bottom,Minor,None,Minor,Needs Repair,Traditional,Nylon,Convert into shorter leggings,Length alteration,Easy,Damaged lower sections can be removed while retaining usable fabric.,"Scissors, measuring tape and sewing tools",30,1,Rule-based circular fashion/upcycling transformation
REC003046,L02,Leggings,Black,Damaged,Multiple Areas,Major,Minor,Major,Needs Repair,Formal,Nylon,Recover fabric for small textile accessories,Material recovery,Medium,Intact sections may still be useful for smaller textile products.,Scissors and sewing supplies,75,1,Rule-based circular fashion/upcycling transformation
REC003047,N01,T-shirt,White,Good,None,None,None,None,No Repair,Traditional,Cotton,Convert into a reusable fabric tote,Tote conversion,Easy,A usable knit top can be repurposed into a simple reusable bag.,"Scissors, thread and sewing supplies",60,2,Rule-based circular fashion/upcycling transformation
