brand,usage,condition,type,category,price,trend,colors,cut,pattern,season,text,pilling,damage,stains,holes,smell,material
Not Applicable,Export,1,Dress,Ladies,<50,No trend,['Orange'],"['Long', 'C-collar']",Plain,All,Unknown,3,6,No,None,None,100%cotton
Soaked In Luxury,Export,3,Dress,Ladies,50-100,No trend,['Black'],"['C-collar', 'Cropped']",Plain,All,Unknown,4,None,Yes,None,None,100%polyester
Not Applicable,Export,4,Dress,Ladies,<50,No trend,['Green'],"['C-collar', 'Regular']",Plain,All,Unknown,4,None,No,None,None,100%cotton
Not Applicable,Export,2,Cardigan,Ladies,<50,No trend,['Beige'],['Long'],Plain,All,Unknown,4,1,No,None,None,100%cotton
Vero Moda,Export,4,Tank Top,Ladies,50-100,No trend,"['Green', 'White']","['Collar', 'Regular']",Checkered print,All,Unknown,4,None,No,None,None,100%cotton
Not Applicable,Export,3,Dress,Ladies,50-100,No trend,['Black'],"['C-collar', 'Long']",Plain,All,Unknown,3,None,No,None,None,100%cotton
Not Applicable,Reuse,5,Shirt,Ladies,50-100,No trend,"['Grey', 'Blue']","['Collar', 'Regular']",Striped,All,Unknown,5,None,No,None,None,62%cotton 38%nylon
Lindex,Export,3,Dress,Ladies,<50,No trend,['Pink'],"['Tight', 'C-collar']",Plain,All,Unknown,5,None,Yes,None,None,100%polyester
On The Peak,Reuse,5,Jacker,Ladies,100-150,No trend,['Pink'],['Long'],Logo print,All,Unknown,5,None,No,None,None,100%polyester
H&m,Export,3,Dress,Ladies,50-100,No trend,"['Multicolor', 'Orange', 'Pink', 'Purple', 'White', 'Red']","['V-collar', 'Regular']",Geometric print,All,Unknown,5,None,Yes,None,None,100%cotton
Cream,Export,2,Cardigan,Ladies,<50,No trend,['Beige'],['Cropped'],Lace,All,Unknown,3,None,Yes,None,None,100%cotton
Not Applicable,Export,4,Shirt,Ladies,<50,No trend,"['Multicolor', 'Black', 'White', 'Orange']","['Regular', 'C-collar']",Dots,All,Unknown,4,None,No,None,None,95%viscose 5%elastane
Gina Tricot,Reuse,4,Sweater,Ladies,50-100,Unknown,['Grey'],"['Loose', 'Turtle neck']",Unknown,Autumn,Unknown,5,None,Minor,None,Minor,"67% acrylic, 23% polyamide, 10% wool"
Lindex,Export,3,Sweater,Ladies,<50,Unknown,"['Pink', 'White']","['Regular', 'V-collar']",Other,Autumn,Unknown,2,None,None,None,None,32%acrylic 28%polyamide 20%wool 15%mohair 5%elastane
Fbsisters (new Yorker),Export,4,T-shirt,Ladies,<50,Unknown,"['Pink', 'White']","['Regular', 'C-collar']",Other,Summer,Unknown,4,None,None,None,None,100%cotton
Adidas,Export,3,T-shirt,Ladies,<50,Sports,"['White', 'Grey']","['Regular', 'C-collar']",Logo print,Summer,Unknown,4,2,Minor,None,None,100%polyester
Adidas,Export,4,Tights,Ladies,50-100,Sports,"['Black', 'White']",['Tight'],Logo print,All,Unknown,4,None,Minor,None,None,100%polyester
Missing,Export,4,Top,Ladies,<50,Sports,['White'],"['V-collar', 'Tight']",Unknown,All,Unknown,4,None,Minor,None,None,100%nylon
Soya/soyaconcept,Export,3,Trousers,Ladies,<50,Unknown,['Pink'],"['Loose', 'Cropped']",Unknown,Spring,Unknown,3,None,Major,None,None,100%cotton
Gudrun Sjödén,Export,2,Sweater,Ladies,<50,Unknown,['Black'],"['Regular', 'V-collar']",Unknown,Autumn,Unknown,4,None,Major,None,None,100%cotton
Missing,Export,2,Trousers,Ladies,<50,Unknown,['Blue'],['Loose'],Unknown,Autumn,Unknown,3,None,Minor,None,None,80%polyester 20%cotton
Missing,Reuse,5,Tank Top,Ladies,50-100,Unknown,['Blue'],['Cropped'],Glitter,Summer,Unknown,5,None,None,None,None,100%nylon
Jackpot,Export,3,Jeans,Ladies,50-100,Unknown,['Beige'],['Regular'],Unknown,All,Unknown,4,None,Major,None,None,100%cotton
Soc (stadium),Export,4,T-shirt,Men,<50,Unknown,"['Blue', 'White']","['Regular', 'C-collar']",Logo print,All,Unknown,4,None,None,None,None,100%cotton
H&m,Export,2,Cardigan,Ladies,<50,Unknown,['Pink'],['Long'],Unknown,Autumn,Unknown,2,None,Minor,None,Minor,34%polyamide 31%mohair 31%wool 4%elastane
Prét,Export,3,Cardigan,Ladies,<50,Unknown,['White'],"['C-collar', 'Regular']",Unknown,All,Unknown,5,None,None,Minor,None,100%linen
Trend Fashion,Export,2,T-shirt,Ladies,<50,Unknown,['Red'],"['C-collar', 'Regular']",Unknown,All,Unknown,3,None,None,Minor,Minor,50%wool 50%acrylic
Missing,Export,2,Shorts,Men,<50,Unknown,['Beige'],['Long'],Unknown,Summer,Unknown,4,None,Major,None,None,100%cotton
Jamie Sport,Export,3,Shorts,Men,<50,Unknown,['Black'],['Long'],Unknown,Summer,Unknown,3,None,Minor,None,None,100%cotton
Levi's,Export,4,Jeans,Ladies,100-150,Denim,['Blue'],['Regular'],Unknown,All,Unknown,4,None,Minor,None,None,100%cotton
Marc'o Polo,Export,2,Jeans,Men,50-100,Denim,['Blue'],['Regular'],Unknown,All,Unknown,4,None,Minor,None,None,100%cotton
Signal,Export,3,Shirt,Ladies,<50,Unknown,['Black'],"['Regular', 'C-collar']",Unknown,All,Unknown,3,None,Minor,None,Minor,100%cotton
Soc (stadium),Export,4,T-shirt,Men,<50,Unknown,"['White', 'Black']","['Regular', 'C-collar']",Logo print,Summer,Unknown,4,None,Minor,None,None,100%cotton
Vila,Export,4,Blouse,Ladies,<50,Unknown,"['Multicolor', 'Red', 'Beige', 'Grey', 'Green', 'Pink', 'Black', 'Brown', 'Yellow', 'White', 'Blue']","['C-collar', 'Long']",Floral print,All,Unknown,4,None,None,Minor,Minor,100%polyester
Basic You.,Export,4,T-shirt,Ladies,<50,Unknown,['Blue'],"['C-collar', 'Regular']",Unknown,Summer,Unknown,4,None,None,None,Minor,100%cotton
My Wear Active,Export,2,Shirt,Men,<50,Sports,"['Black', 'Grey']","['C-collar', 'Regular']",Unknown,All,Unknown,4,2,Minor,None,None,100%polyester
Club Monaco,Reuse,4,Shirt,Ladies,50-100,Unknown,['Turquoise'],['Regular'],Unknown,Summer,Unknown,5,None,None,None,None,100%silk
Missing,Export,2,Shirt,Men,<50,Unknown,"['Multicolor', 'Brown', 'White', 'Blue']",['Regular'],Geometric print,Autumn,Unknown,5,5,None,Minor,Minor,100%silk
Cover,Export,2,T-shirt,Men,<50,Unknown,['Black'],"['Regular', 'C-collar']",Unknown,Autumn,Unknown,4,None,Minor,None,Minor,100%cotton
H&m,Export,2,Dress,Ladies,<50,Unknown,"['Multicolor', 'Beige', 'White', 'Purple', 'Black', 'Yellow', 'Green', 'Orange', 'Grey', 'Blue']","['V-collar', 'Long', 'Loose']",Floral print,Summer,Unknown,5,None,None,Major,None,68%lyocell 32%modal
Pull And Bear,Export,2,Jeans,Men,<50,Denim,['Black'],['Regular'],Unknown,Autumn,Unknown,4,None,Major,None,Minor,92%cotton 6%polyester 2%elastane
Missing,Export,3,Tank Top,Ladies,<50,Unknown,['Black'],"['Regular', 'C-collar']",Unknown,Summer,Unknown,4,None,Minor,None,None,100%cotton
D-way,Export,1,Trousers,Men,<50,Sports,"['Black', 'Grey', 'White', 'Multicolor']",['Regular'],Unknown,Autumn,Unknown,4,None,Minor,Major,None,100%polyester
Missing,Reuse,5,Blouse,Ladies,50-100,Unknown,"['Multicolor', 'Black', 'Purple', 'Yellow', 'Pink', 'White', 'Green', 'Red', 'Blue']","['Regular', 'C-collar']",Floral print,Spring,Unknown,5,None,None,None,Minor,100%viscose
Missing,Export,4,Sweater,Ladies,50-100,Unknown,['Purple'],"['Regular', 'Turtle neck']",Other,Winter,Unknown,4,None,None,None,None,52%viscose 27%polyester 21%polyamide
Lindex,Reuse,5,Jacket,Ladies,100-150,Unknown,['Black'],['Regular'],Unknown,Winter,Unknown,5,None,None,None,Minor,51%polyester 34%polyamide 15%acrylic
Missing,Reuse,4,Skirt,Children,50-100,Unknown,['White'],['Loose'],Lace,Summer,Unknown,5,None,Minor,None,None,100%cotton
H&m,Export,2,T-shirt,Children,<50,Unknown,"['Multicolor', 'Pink', 'White', 'Blue', 'Grey', 'Yellow']",['Loose'],Glitter,Summer,Unknown,4,1,Minor,None,None,100%cotton
H&m,Export,2,Top,Ladies,<50,Unknown,['Black'],['Tight'],Unknown,All,Unknown,4,2,Minor,Minor,Minor,100%rayon
Lindex,Export,4,Top,Ladies,<50,Unknown,['Pink'],"['Regular', 'C-collar']",Glitter,Spring,Unknown,3,None,None,None,Minor,100%viscose
Miss Milla,Export,3,Shirt,Men,50-100,Unknown,"['Multicolor', 'Blue', 'Green', 'White', 'Yellow', 'Orange']",['Regular'],Checkered print,Autumn,Unknown,3,None,Minor,None,Minor,100%cotton
H&m,Reuse,5,Jeans,Children,50-100,Denim,['White'],['Tight'],Unknown,Spring,Unknown,5,None,None,None,None,79%cotton 19%polyester 2%elastane
Missing,Export,3,Shorts,Ladies,<50,Unknown,['Beige'],"['Tight', 'Cropped']",Logo print,Summer,Unknown,5,3,None,None,Minor,92%nylon 8%elastane
Missing,Export,2,Shorts,Ladies,<50,Sports,"['Purple', 'Blue']","['Cropped', 'Tight']",Unknown,Summer,Unknown,5,1,None,Minor,Minor,100%nylon
Missing,Reuse,4,Blouse,Ladies,50-100,Unknown,['Pink'],"['Regular', 'V-collar']",Unknown,Spring,Unknown,5,None,None,None,None,56%viscose 44%nylon
Zara,Export,2,Blouse,Ladies,<50,Unknown,['Black'],"['Regular', 'V-collar']",Unknown,Autumn,Unknown,4,None,Major,None,None,94%viscose 5%polyester 1%elastano
Lindex,Reuse,4,Blazer,Ladies,100-150,Unknown,['Green'],"['Regular', 'V-collar']",Unknown,Spring,Unknown,5,None,None,None,Minor,67%polyester 33%viscose
Lc-waikiki,Export,3,Top,Children,<50,Unknown,"['Blue', 'Grey']","['Regular', 'V-collar']",Logo print,Autumn,Unknown,4,None,None,None,None,68%cotton 27%polyester 5%viscose
Lindex,Export,3,Skirt,Ladies,50-100,Unknown,['Green'],['Tight'],Unknown,Spring,Unknown,3,None,Minor,None,None,67%polyester 33%viscose
Senso,Export,3,Skirt,Ladies,<50,Unknown,['Grey'],['Tight'],Unknown,Spring,Unknown,5,None,Minor,None,None,73%viscose 24%polyamide 3%elastane
Topshop,Export,3,Jacket,Ladies,150-250,Unknown,['Beige'],['Long'],Unknown,Winter,Unknown,4,None,Minor,None,Major,50%polyester 50%acrylic
Marine,Export,4,Dress,Children,<50,Unknown,"['Blue', 'White']","['Regular', 'C-collar']",Striped,Summer,Unknown,3,None,None,None,None,95%polyester 5%elastane
Missing,Export,2,Tank Top,Ladies,<50,Unknown,['Beige'],"['C-collar', 'Regular']",Logo print,Summer,Unknown,4,None,Major,None,None,92%nylon 8%elastane
H&m,Reuse,5,Skirt,Ladies,50-100,Unknown,['Grey'],"['Long', 'Loose']",Unknown,Summer,Unknown,5,None,None,None,None,100%polyester
Missing,Export,4,Top,Ladies,<50,Sports,"['Purple', 'Blue']","['Cropped', 'C-collar']",Unknown,Summer,Unknown,5,None,None,None,None,100%nylon
Bodyzone,Export,2,Training Top,Children,<50,Sports,['Pink'],"['C-collar', 'Tight']",Unknown,All,Unknown,4,None,Major,None,Minor,100%nylon
Terranova,Export,4,Blouse,Ladies,<50,Unknown,"['Blue', 'Multicolor', 'Grey', 'Red', 'Green', 'White']",['C-collar'],Other,Summer,Unknown,4,None,None,None,None,100%nylon
Zara,Reuse,4,Skirt,Ladies,50-100,Unknown,"['Multicolor', 'Green', 'Blue', 'Orange', 'Yellow', 'Purple', 'Beige']","['Long', 'Loose']",Floral print,Summer,Unknown,5,None,None,None,Minor,100%cotton
H&m,Export,2,T-shirt,Men,<50,Unknown,['Purple'],"['Regular', 'C-collar']",Unknown,Winter,Unknown,4,None,Major,None,Minor,100%cotton
Kappahl,Export,4,Shirt,Ladies,50-100,Unknown,['Black'],['Regular'],Unknown,Autumn,Unknown,4,None,Major,None,None,80%viscose 20%polyamide
Kappahl,Reuse,5,Blouse,Ladies,50-100,Unknown,"['Black', 'Multicolor', 'Orange', 'Red', 'Brown', 'Pink', 'White', 'Purple']","['Regular', 'C-collar']",Floral print,Spring,Unknown,5,None,None,None,None,100%viscose
Missing,Export,2,Trousers,Ladies,<50,Unknown,['Black'],['Loose'],Unknown,Autumn,Unknown,2,None,Major,None,Minor,80%polyester 20%cotton
Lindex,Export,3,Blouse,Ladies,<50,Unknown,['Green'],"['C-collar', 'Regular']",Geometric print,Autumn,Unknown,5,1,None,None,None,100%silk
Missing,Reuse,5,Shirt,Ladies,50-100,Unknown,"['Yellow', 'White']",['Regular'],Checkered print,Summer,Unknown,5,None,None,None,None,99%cotton 1%elastane
Missing,Reuse,5,Jacket,Men,100-150,Unknown,['Red'],['Regular'],Unknown,Autumn,Unknown,5,None,None,None,None,50%cotton 50%nylon
H&m,Export,3,Jeans,Ladies,50-100,Unknown,['Blue'],['Regular'],Unknown,Spring,Unknown,3,None,Minor,None,Minor,80%cotton 18%polyester 2%elastane
Missing,Export,3,Tank Top,Ladies,<50,Unknown,['Brown'],"['Regular', 'C-collar']",Glitter,Summer,Unknown,4,1,None,Minor,None,100%viscose
Salko,Reuse,5,Jacket,Men,>400,Unknown,['Green'],['Long'],Unknown,Winter,Unknown,5,None,None,None,None,60%wool 40%polyester
Everest,Export,3,Winter Trousers,Children,50-100,Unknown,"['Orange', 'Black']",['Regular'],Unknown,Winter,Unknown,3,None,Major,None,Minor,50%nylon 50%polyester
Pinewood,Reuse,5,Jacket,Men,>400,Unknown,['Black'],"['Regular', 'Turtle neck']",Unknown,Autumn,Unknown,5,None,None,None,None,100%polyester
Everest,Reuse,5,Jacket,Children,100-150,Unknown,['Blue'],"['Regular', 'Turtle neck']",Unknown,Autumn,Unknown,5,None,None,None,None,100%polyamide
Etirel,Export,3,Winter Jacket,Ladies,100-150,Unknown,['Black'],"['Regular', 'Turtle neck']",Unknown,Winter,Unknown,4,None,None,Minor,None,100%polyamide
Lindex,Export,2,Rain Jacket,Children,<50,Unknown,"['Multicolor', 'Purple', 'Pink', 'Orange', 'Blue', 'Black', 'Beige', 'White']","['Regular', 'Turtle neck']",Other,Spring,Unknown,4,None,Major,None,None,100%polyester
Missing,Reuse,5,Dress,Ladies,100-150,Unknown,"['Multicolor', 'Purple', 'Black', 'White', 'Red', 'Grey']",['Long'],Striped,Autumn,Unknown,5,None,None,None,Minor,100%polyester
Marifa,Reuse,4,Trousers,Men,100-150,Unknown,['Grey'],['Regular'],Unknown,Autumn,Unknown,5,None,Minor,None,Minor,55%polyester 45%wool
Missing,Reuse,5,Blouse,Ladies,50-100,Unknown,"['Multicolor', 'Green', 'Black', 'White']","['Regular', 'V-collar']",Geometric print,Spring,Unknown,5,None,None,None,None,100%viscose
Park Lane,Reuse,5,Sweater,Men,100-150,Unknown,['Purple'],"['Regular', 'Turtle neck']",Unknown,Autumn,Unknown,5,None,None,None,Minor,100%cotton
Joy,Export,3,T-shirt,Men,50-100,Unknown,"['White', 'Black']",['Regular'],Striped,Summer,Unknown,4,None,Minor,None,Minor,100%cotton
Missing,Reuse,4,Vest,Men,100-150,Unknown,"['Beige', 'Brown']","['Regular', 'V-collar']",Geometric print,Autumn,Unknown,5,None,None,None,None,73%acrylic 27%wool
Capture,Reuse,5,Blazer,Ladies,100-150,Unknown,"['Grey', 'Black']",['Regular'],Checkered print,Autumn,Unknown,4,None,None,None,Minor,30%wool 30%polyester 30%acrylic 10%other
Ragtag,Export,4,Sweater,Men,50-100,Unknown,"['Multicolor', 'Green', 'White', 'Yellow', 'Black']","['Regular', 'V-collar']",Striped,Autumn,Unknown,3,None,None,None,Minor,100%cotton
Missing,Export,3,Sweater,Men,<50,Unknown,"['Multicolor', 'Green', 'Yellow', 'Black', 'Blue', 'Red']","['Regular', 'C-collar']",Striped,Autumn,Unknown,3,None,None,None,Minor,66%acrylic 34%cotton
Missing,Reuse,5,Shirt,Men,50-100,Unknown,"['White', 'Black']",['Regular'],Checkered print,Spring,Unknown,5,None,None,None,None,60%viscose 40%polyester
Batistini (dressman),Export,2,Sweater,Men,<50,Unknown,['Green'],"['Regular', 'V-collar']",Unknown,Autumn,Unknown,4,None,Major,None,None,100%cotton
Joy,Export,4,Sweater,Men,50-100,Unknown,['Blue'],"['Regular', 'V-collar']",Unknown,Spring,Unknown,4,None,Minor,None,None,100%cotton
Missing,Reuse,4,Jeans,Men,50-100,Unknown,['Beige'],['Regular'],Unknown,Spring,Unknown,4,None,None,None,None,97%cotton 3%elastane
Missing,Export,3,Trousers,Children,<50,Unknown,['Blue'],['Regular'],Logo print,Winter,Unknown,3,None,None,Minor,None,100%polyester
Missing,Export,2,Blouse,Ladies,<50,Unknown,['White'],"['Regular', 'Turtle neck']",Unknown,Spring,Unknown,4,None,Major,None,None,100%polyester
Only,Export,2,T-shirt,Ladies,<50,Unknown,"['White', 'Blue', 'Grey', 'Black', 'Multicolor']","['Regular', 'C-collar']",Other,Spring,Unknown,3,None,Major,None,None,95%polyester 5%elastane
Missing,Export,3,Trousers,Ladies,<50,Unknown,"['Multicolor', 'White', 'Green', 'Grey', 'Yellow', 'Pink', 'Purple', 'Brown', 'Blue', 'Black']",['Regular'],Floral print,Spring,Unknown,3,None,Minor,None,None,95%cotton 5%elastane
Missing,Export,2,Blouse,Ladies,<50,Unknown,['White'],"['Regular', 'C-collar']",Lace,Summer,Unknown,4,None,Major,None,Minor,55%cotton 45%viscose
Missing,Reuse,5,Shorts,Unisex,50-100,Unknown,['White'],['Regular'],Logo print,Summer,Unknown,5,None,None,None,None,100%polyester
Gina Tricot,Export,4,Hoodie,Ladies,50-100,Unknown,['Blue'],['Cropped'],Unknown,Spring,Unknown,5,None,Minor,None,None,80%cotton 20%polyester
Gina Tricot,Export,5,Hoodie,Ladies,50-100,Unknown,['White'],['Cropped'],Unknown,Spring,Unknown,5,None,None,None,None,80%cotton 20%polyester
Filati,Export,3,Sweater,Men,50-100,Unknown,"['Multicolor', 'Turquoise', 'Purple', 'White', 'Black', 'Blue', 'Green']","['Regular', 'C-collar']",Geometric print,Spring,Unknown,4,None,Minor,None,Minor,78%acrylic
Rappson (gubb),Reuse,4,Trousers,Men,100-150,Unknown,['Blue'],['Regular'],Unknown,Autumn,Unknown,5,None,Minor,None,None,65%polyester 35%cotton
Vila,Export,2,Sweater,Ladies,<50,Unknown,['Blue'],"['Regular', 'V-collar']",Unknown,Winter,Unknown,3,None,Minor,None,None,75%viscose 25%polyester
Isolde,Reuse,5,Blouse,Ladies,50-100,Unknown,"['Multicolor', 'Black', 'Beige', 'White']","['Regular', 'C-collar']",Floral print,Spring,Unknown,5,None,None,None,None,100%polyester
Logg (h&m),Export,2,Blouse,Ladies,<50,Unknown,['Brown'],"['Regular', 'V-collar']",Unknown,Autumn,Unknown,4,None,Major,None,None,90%cotton 10%elastane
Grafitvs,Reuse,5,Tank Top,Ladies,<50,Unknown,['Yellow'],"['Regular', 'C-collar']",Unknown,Summer,Unknown,5,None,None,None,None,95%cotton 5%elastane
Vega,Reuse,5,Trousers,Ladies,<50,Unknown,['Black'],"['Cropped', 'Loose']",Unknown,Summer,Unknown,5,None,None,None,None,95%polyester 5%elastane
Lindex,Export,3,Vest,Ladies,<50,Unknown,['Yellow'],"['V-collar', 'Regular']",Unknown,Spring,Unknown,5,None,Minor,None,None,69%cotton 31%polyester
Bo-jangles,Export,3,Jacket,Ladies,<50,Unknown,['Black'],['Regular'],Unknown,Autumn,Unknown,4,None,Minor,None,Minor,98%nylon 2%elastane
Cue,Export,3,Blouse,Ladies,<50,Unknown,['Black'],"['Regular', 'V-collar']",Unknown,Autumn,Unknown,4,None,Minor,None,Minor,100%cotton
Indiska,Reuse,5,Dress,Ladies,<50,Unknown,"['Multicolor', 'Blue', 'Black', 'White']","['Long', 'C-collar']",Floral print,Summer,Unknown,5,None,None,None,None,100%viscose
Privacy.,Export,3,T-shirt,Ladies,<50,Unknown,['White'],"['Regular', 'V-collar']",Unknown,Summer,Unknown,4,None,Minor,None,None,100%cotton
Missing,Reuse,4,Jeans,Ladies,50-100,Unknown,"['Blue', 'White']",['Regular'],Unknown,Spring,Unknown,5,None,None,None,None,95%cotton 5%lycra
H&m,Export,2,Blouse,Ladies,<50,Unknown,"['Pink', 'Black']","['Regular', 'V-collar']",Lace,Spring,Unknown,4,None,Major,None,Minor,100%polyester
H&m,Export,3,Trousers,Ladies,50-100,Unknown,['Black'],['Loose'],Striped,Autumn,Unknown,3,None,Minor,None,Minor,62%polyester 31%rayon 5%spandex 1%metallic fibres 1%nylon
Missing,Export,3,Blazer,Ladies,50-100,Unknown,['Black'],['Regular'],Unknown,Autumn,Unknown,5,None,Minor,None,Minor,100%polyester
C P H,Export,3,Shirt,Ladies,50-100,Unknown,['Pink'],['Regular'],Striped,Spring,Unknown,4,None,Minor,None,None,70%cotton 27%polyester 3%elastane
Lilly Of Sweden,Export,2,Dress,Ladies,<50,Unknown,['Black'],"['Regular', 'V-collar']",Lace,Summer,Unknown,4,None,Minor,None,None,50%cotton 50%viscose
Melly Moda,Export,3,Top,Ladies,<50,Unknown,['Black'],"['Regular', 'C-collar']",Unknown,Summer,Unknown,4,None,Minor,None,Major,90%cotton 10%elastane
H&m,Export,2,Tank Top,Ladies,<50,Unknown,"['Black', 'White']","['C-collar', 'Loose']",Geometric print,Summer,Unknown,4,None,Major,None,None,100%polyester
Isolde,Reuse,5,T-shirt,Ladies,<50,Unknown,"['Black', 'White']","['C-collar', 'Regular']",Geometric print,Autumn,Unknown,5,None,None,None,None,95%polyester 5%elastane
Kappahl,Export,3,Skirt,Ladies,<50,Denim,['Blue'],['Tight'],Unknown,Summer,Unknown,4,None,Minor,None,None,100%cotton
Lindex,Export,3,Skirt,Ladies,<50,Unknown,"['Black', 'White']",['Tight'],Unknown,Summer,Unknown,4,None,Minor,None,None,98%cotton 2%elastane
Isolde,Export,3,Blouse,Ladies,<50,Unknown,"['Blue', 'White']","['Regular', 'C-collar']",Striped,Summer,Unknown,4,None,Minor,None,None,100%viscose
Cellbes,Export,4,T-shirt,Ladies,<50,Unknown,['Black'],"['Regular', 'C-collar']",Unknown,Summer,Unknown,4,None,Minor,None,None,100%cotton
Isolde,Reuse,5,Blouse,Ladies,50-100,Unknown,['Blue'],"['Regular', 'C-collar']",Unknown,Summer,Unknown,5,None,None,None,None,97%polyester 3%elastane
Isolde,Export,2,Blouse,Ladies,<50,Unknown,['White'],"['Regular', 'C-collar']",Unknown,Summer,Unknown,4,None,Major,None,Minor,100%cotton
Isolde,Export,4,T-shirt,Ladies,<50,Unknown,['Pink'],"['Regular', 'C-collar']",Unknown,Summer,Unknown,4,None,Minor,None,Minor,95%viscose 5%elastane
Culture,Export,3,Blouse,Ladies,<50,Unknown,['Beige'],"['Regular', 'C-collar']",Striped,Autumn,Unknown,3,None,Minor,None,Minor,100%cotton
Soya/soyaconcept,Reuse,5,Blouse,Ladies,50-100,Unknown,['Blue'],"['Regular', 'V-collar']",Unknown,Spring,Unknown,5,None,None,None,None,100%viscose
Missing,Reuse,5,T-shirt,Ladies,50-100,Unknown,"['Blue', 'White', 'Black', 'Multicolor']","['Regular', 'V-collar']",Floral print,Spring,Unknown,5,None,None,None,None,100%cotton
Lindex,Export,2,Tank Top,Ladies,<50,Unknown,['White'],"['Regular', 'C-collar']",Glitter,Summer,Unknown,2,None,Major,None,Minor,100%polyester
Xlnt,Export,2,T-shirt,Ladies,<50,Unknown,['Black'],"['Regular', 'V-collar']",Unknown,Summer,Unknown,5,None,Major,None,Minor,100%cotton
Isolde,Export,3,Jeans,Ladies,<50,Denim,['Blue'],['Cropped'],Unknown,Spring,Unknown,4,None,Minor,None,Minor,85%cotton 13%polyester 2%elastane
Missing,Export,4,Skirt,Ladies,<50,Unknown,['Black'],"['Tight', 'Cropped']",Unknown,Summer,Unknown,5,None,None,None,Minor,65%polyester 35%cotton
Cellbes,Export,5,Dress,Ladies,50-100,Unknown,"['Multicolor', 'Blue', 'Black', 'White']","['Regular', 'C-collar']",Floral print,Summer,Unknown,5,None,None,None,None,50%cotton 50%viscose
Soliver,Reuse,5,Blouse,Ladies,50-100,Unknown,['Black'],"['Regular', 'C-collar']",Unknown,Summer,Unknown,5,None,None,None,None,100%cotton
Vero Moda,Export,2,Sweater,Ladies,<50,Unknown,['Grey'],"['Regular', 'Turtle neck']",Unknown,Winter,Unknown,1,None,Major,None,Major,100%acrylic
365,Recycle,2,Cardigan,Ladies,<50,Unknown,['Red'],"['C-collar', 'Regular']",Dots,All,Unknown,5,None,Minor,Minor,Major,100% bomull
Vero Moda,Recycle,2,Blouse,Ladies,<50,Unknown,['Black'],"['C-collar', 'Loose']",Transparent,All,Unknown,5,None,Minor,None,Major,100% polyester
Masai,Repair,2,Dress,Ladies,<50,Unknown,['Black'],['C-collar'],Lace,All,Unknown,1,None,None,None,Minor,"51% nylon, 49% viscose"
Jersey Modelles,Reuse,4,Blazer,Ladies,100-150,Unknown,['Brown'],"['Cropped', 'V-collar']",Unknown,All,Unknown,5,Pulled threads,None,None,Major,"74% wool, 26% acrylic"
Peppercorn,Export,2,Jeans,Ladies,<50,Unknown,['Black'],['Regular'],Unknown,All,Unknown,5,Pulled threads,Minor,None,None,"98% cotton, 2% elastane"
H&m,Recycle,2,Dress,Ladies,<50,Unknown,"['Black', 'White']","['Regular', 'C-collar']",Geometric print,All,Unknown,3,None,None,None,Minor,100% cotton
Gardeur,Recycle,1,Sweater,Ladies,<50,Unknown,['Red'],"['Regular', 'Turtle neck']",Unknown,Winter,Unknown,4,Contracted,None,None,None,"80% merino wool, 20% polyamide"
Isolde,Reuse,5,Trousers,Ladies,50-100,Unknown,"['White', 'Black', 'Pink', 'Multicolor']",['Regular'],Floral print,Summer,Unknown,5,None,None,None,None,"74% rayon, 22% nylon, 4% spandex"
Batistini (dressman),Recycle,1,Shirt,Men,<50,Unknown,['White'],['Regular'],Unknown,All,Unknown,5,None,Major,None,None,100% cotton
Np,Reuse,3,Sweater,Men,50-100,Unknown,['Blue'],"['Regular', 'V-collar']",Unknown,All,Unknown,5,None,Minor,None,None,100% cotton
Marcello,Repair,2,Vest,Men,50-100,Unknown,['Green'],"['Regular', 'V-collar']",Unknown,All,Unknown,3,None,None,None,Minor,"50% cotton, 50% acrylic"
Isolde,Reuse,4,Dress,Ladies,50-100,Unknown,"['Black', 'Beige', 'Brown', 'Multicolor']","['C-collar', 'Loose']",Floral print,All,Unknown,5,None,Minor,None,Minor,100% viscose
Two Danes,Repair,2,T-shirt,Ladies,<50,Unknown,['Green'],"['C-collar', 'Loose']",Unknown,Spring,Unknown,3,None,None,None,Minor,"65% Bamboo, 30% cotton, 5% elastane"
Cappuchini,Export,1,Trousers,Ladies,<50,Unknown,['Grey'],['Cropped'],Unknown,All,Unknown,5,Sunbleeched,Major,None,None,"98% cotton, 2% elastane"
Flash,Reuse,5,Skirt,Ladies,50-100,Unknown,['Beige'],['Cropped'],Unknown,Spring,Unknown,5,None,None,None,None,"80% cotton, 18% polyester, 2% elastane"
Rabalder,Export,3,Top,Ladies,<50,Unknown,"['Red', 'White']",['Loose'],Striped,All,Unknown,5,None,None,Minor,None,"50% cotton, 50% modal"
Shein,Reuse,5,Tights,Ladies,<50,Unknown,"['Black', 'Grey', 'White', 'Multicolor']",['Regular'],Unknown,All,Unknown,5,None,None,None,None,"95% polyester, 5% spandex"
Dawn By Lindex,Reuse,5,Top,Ladies,50-100,Unknown,['Brown'],['Tight'],Glitter,Winter,Unknown,5,None,None,None,Minor,"75% viscose,25% lurex"
Dotted Blue,Recycle,1,Top,Ladies,<50,Unknown,"['Green', 'White', 'Black', 'Multicolor']","['Loose', 'C-collar']",Geometric print,All,Unknown,5,Loose thread,None,None,Minor,100% viscose
